ID;Identity;FamilyName;MaidenName;FirstNames;Sex;BirthDate;BirthLocation;DeathDate;DeathLocation;Nationality;Masters;MedallistAt;FirstMedal_Date;FirstMedal_Class;SecondMedal_Date;SecondMedal_Class;ThirdMedal_Date;ThirdMedal_Class;FourthMedal_Date;FourthMedal_Class;FifthMedal_Date;FifthMedal_Class;AcadémieBeauxArts_ElectionDate;LegionHonneur_ChevalierDate;LegionHonneur_OfficierDate;LegionHonneur_CommandeurDate
27;Beauverie, Charles;Beauverie;;Charles Joseph;Man;1839;Lyon;1888;Paris;French;"Gleyre, Charles; Vibert, Victor; Danguin, Jean Baptiste; Ravier, Auguste";Salon de 1877;1877;3rd class medal;1881;2nd class medal;;;;;;;;1895;;
28;Becker, Georges;Becker;;Georges;Man;1845;Paris;1909;Paris;French;Gérôme, Jean Léon;"Salon de 1870; Salon de 1872";1870;Unique medal;1872;2nd class medal;;;;;;;;1888;;
29;Bellanger, Camille;Bellanger;;Camillle Felix;Man;1853;Paris;1923;Paris;French;"Cabanel, Alexandre; Bouguereau, William";Salon de 1875;1875;2nd class medal;;;;;;;;;;1911;;
30;Bellay, Charles-Paul;Bellay;;Charles Paul Alphonse;Man;1826;Paris;1900;Paris;French;"Picot, François Edouard; Henriquel-Dupont, Louis Pierre";"Salon de 1866; Salon de 1867; Salon de 1869";1866;Unique medal;1867;Unique medal;1869;Unique medal;;;;;;1873;;
624;Bellel, Jean-Joseph;Bellel;;Jean-Joseph;Man;1816;Paris;1898;Paris;French;;Salon de 1848;1848;1st class medal;;;;;;;;;0;1860;0;0
31;Belly, Léon;Belly;;Léon;Man;1827;Saint-Omer;1877;Paris;French;"Picot, François Edouard; Troyon, Constant; Lequeutre, Hippolyte; Rousseau, Théodore";"Salon de 1857; Salon de 1859; Salon de 1861";1857;3rd class medal;1859;2nd class medal;1861;1st class medal;;;;;;1862;;
32;Benner, Jean;Benner;;Jean;Man;1836;Mulhouse;1909;Paris;French;"Pils, Isidore; Henner, Jean Jacques; Eck, Jacques";Salon de 1872;1872;2nd class medal;;;;;;;;;;1894;;
622;Bénouville, Achille;Bénouville;;Achille Jean;Man;1815;Paris;1891;Paris;French;"Picot, François Edouard; Cogniet, Léon";Salon de 1863;1844;3rd class medal;1863;1st class medal;;;;;;;;1863;;
33;Bénouville, François-Léon;Bénouville;;François Léon;Man;1821;Paris;1859;Paris;French;"Picot, François Edouard; Cogniet, Léon";"Salon de 1852; Salon de 1853; Salon de 1855";1852;2nd class medal;1853;1st class medal;1855;2nd class medal;;;;;;1855;;
545;Béranger, Jean-Achille;Béranger;;Jean Baptiste Antoine Emile;Man;1814;Sèvres;1883;Paris;French;"Delaroche, Paul; Béranger, Antoine";Salon de 1848;1846;3rd class medal;1848;2nd class medal;;;;;;;;;;
34;Berchère, Narcisse;Berchère;;Narcisse;Man;1819;Etampes;1891;Asnière;French;"Renout, Philippe; Rémond, Charles";"Salon de 1859; Salon de 1861; Salon de 1864";1859;3rd class medal;1861;Rappel of 3rd class medal;1864;Unique medal;;;;;;1870;;
35;Bergeret, Denis;Bergeret;;Denis Pierre;Man;1846;Villeparisis;1910;Paris;French;"Bonnat, Léon; Isabey, Eugène; Lefebvre, Jules";"Salon de 1875; Salon de 1877";1875;3rd class medal;1877;2nd class medal;;;;;;;;1900;;
36;Berne-Bellecour, Étienne;Berne-Bellecour;;Etienne Prosper;Man;1838;Boulogne-sur-Mer;1910;Paris;French;"Picot, François Edouard; Signol, Emile; Barrias, Felix";"Salon de 1869; Salon de 1872";1869;Unique medal;1872;1st class medal;;;;;;;;1878;;
37;Bernier, Camille;Bernier;;Camille;Man;1823;Colmar;1902;Paris;French;Fleury, Léon;"Salon de 1867; Salon de 1868; Salon de 1869";1867;Unique medal;1868;Unique medal;1869;Unique medal;;;;;;1872;;
38;Berthon, Nicolas;Berthon;;Nicolas;Man;1831;Paris;1888;Paris;French;"Yvon, Adolphe; Cogniet, Léon; Rochenoire, Julien de";Salon de 1866;1866;Unique medal;;;;;;;;;;;;
39;Bertrand, James;Bertrand;;Jean Baptiste;Man;1825;Lyon;1887;Orsay;French;"Bonnefond, Claude; Périn, Alphonse; Orsel, Victor";"Salon de 1861; Salon de 1863; Salon de 1869";1861;3rd class medal;1863;Rappel of 3rd class medal;1869;Unique medal;;;;;;1876;;
41;Besnard, Albert;Besnard;;Paul Albert;Man;1849;Paris;1934;Paris;French;"Cabanel, Alexandre; Bremond, Jean";"Salon de 1874; Salon de 1880";1874;3rd class medal;1880;2nd class medal;;;;;;;1924;1889;1898;1903
40;Besnard, Louise;Besnard;Vaillant;Louise;Woman;1816;Paris;1879;Lyon;French;Mirbel, Aimée Zoé;Salon de 1859;1847;3rd class medal;1859;Rappel of 3rd class medal;;;;;;;;;;
42;Betsellère, Émile;Betsellère;;Pierre Emile;Man;1847;Bayonne;1880;Bayonne;French;Cabanel, Alexandre;Salon de 1878;1878;3rd class medal;;;;;;;;;;;;
43;Bezard, Jean-Louis;Bezard;;Jean Louis;Man;1799;Toulouse;1861;Paris;French;"Picot, François Edouard; Guérin, Gabriel Christophe";"Salon de 1857; Salon de 1859";1836;1st class medal;1857;Rappel of 1st class medal;1859;Rappel of 1st class medal;;;;;;1860;;
547;Bianchi, Nina;Bianchi;Bianchi;Nina;Woman;;;;;French;Pérignon, Alexis;Salon de 1848;1845;3rd class medal;1848;2nd class medal;;;;;;;;;;
548;Biard, François-Auguste;Biard;;François Auguste;Man;1798;Lyon;1886;Fontainebleau;French;Révoil, Pierre;Salon de 1848;1827;2nd class medal;1836;1st class medal;1848;2nd class medal;;;;;;1838;;
549;Bida, Alexandre;Bida;;Jacques Alexandre Jean François Régis;Man;1813;Toulouse;1895;Lautenbach;French;Delacroix, Eugène;"Salon de 1848; Salon de 1855";1848;2nd class medal;1855;1st class medal;;;;;;;;1855;1870;
44;Biennourry, Victor;Biennourry;;Victor François Eloi;Man;1823;Bar-sur-Aube;1893;Paris;French;Drolling, Martin;Salon de 1864;1864;Unique medal;;;;;;;;;;;;
45;Billet, Pierre;Billet;;Pierre Célestin;Man;1837;Cantin;1922;Cantin;French;"Breton, Jules; Breton, Emile; Petit, Constant";"Salon de 1873; Salon de 1874";1873;3rd class medal;1874;2nd class medal;;;;;;;;;;
46;Bin, Émile;Bin;;Jean Baptiste Philippe Emile;Man;1825;Paris;1897;Paris;French;"Cogniet, Léon; Gosse, Nicolas";"Salon de 1865; Salon de 1869";1865;Unique medal;1869;Unique medal;;;;;;;;1878;;
47;Blanc, Joseph;Blanc;;Paul Joseph;Man;1846;Paris;1904;Paris;French;"Cabanel, Alexandre; Bin, Emile";"Salon de 1870; Salon de 1872";1870;Unique medal;1872;1st class medal;;;;;;;;1878;;
48;Blanchard, Édouard-Théophile;Blanchard;;Edouard Théophile;Man;1844;Paris;1879;Paris;French;"Picot, François Edouard; Cabanel, Alexandre";"Salon de 1872; Salon de 1874";1872;2nd class medal;1874;1st class medal;;;;;;;;;;
49;Blin, Francis;Blin;;Francois;Man;1827;Rennes;1866;;French;Picot, François Edouard;"Salon de 1865; Salon de 1866";1865;Unique medal;1866;Unique medal;;;;;;;;;;
50;Bodmer, Karl;Bodmer;;Johann Karl;Man;1809;Zurich;1893;Barbizon;Swiss;"Meyer, Johann Jacob; Cornu, Sebastien; Mouilleron, Adolphe";"Salon de 1850-1851; Salon de 1855; Salon de 1863";1851;2nd class medal;1855;3rd class medal;1863;Rappel of 2nd class medal;;;;;;1876;;
51;Böhn, Germann von;Böhn;;Germann von;Man;1812;Heilbronn;1899;Stuttgart;German;"Lehmann, Henri; Scheffer, Ary";Salon de 1849;1844;3rd class medal;1849;2nd class medal;;;;;;;;1852;;
52;Bompard, Maurice;Bompard;;Maurice;Man;1857;Rodez;1936;Paris;French;"Lefebvre, Jules; Magaud, Dominique; Boulanger, Gustave";Salon de 1880;1880;3rd class medal;1890;2nd class medal;;;;;;;;1898;1914;
422;Bonaparte, Princesse Mathilde;Bonaparte;Bonaparte;Laetitia Mathilde;Woman;1820;Trieste;1904;Paris;French;"Giraud, Eugène; Hébert, Ernest";Salon de 1865;1865;Unique medal;;;;;;;;;;;;
53;Bonheur, Auguste;Bonheur;;Auguste François;Man;1824;Bordeaux;1884;Bellevue;French;Bonheur, Raymond;"Salon de 1852; Salon de 1857; Salon de 1859; Salon de 1861; Salon de 1863";1852;3rd class medal;1857;Rappel of 3rd class medal;1859;2nd class medal;1861;1st class medal;1863;Rappel of 1st class medal;;1867;;
550;Bonheur, Rosa;Bonheur;Bonheur;Marie Rosalie;Woman;1822;Bordeaux;1899;By;French;"Cogniet, Léon; Bonheur, Raymond";"Salon de 1848; Salon de 1855";1845;3rd class medal;1848;1st class medal;1855;1st class medal;;;;;;1856;1894;
54;Bonnat, Léon;Bonnat;;Léon Joseph Florentin;Man;1833;Bayonne;1922;Monchy-Saint-Eloi;French;"Cogniet, Léon; Madrazo y Küntz, Federico de";"Salon de 1861; Salon de 1863; Salon de 1869";1861;2nd class medal;1863;Rappel of 2nd class medal;1869;Medal of honour;;;;;1881;1867;1874;1882
55;Bonnefoy, Henry;Bonnefoy;;Arthur Henri;Man;1839;Boulogne sur Mer;1917;Paris;French;Cogniet, Léon;Salon de 1880;1880;3rd class medal;1884;2nd class medal;;;;;;;;;;
56;Bonvin, François;Bonvin;;François;Man;1817;Paris;1887;Saint-Germain-en-Laye;French;;"Salon de 1849; Salon de 1850-1851";1849;3rd class medal;1851;2nd class medal;;;;;;;;1870;;
57;Bouguereau, William;Bouguereau;;Adolphe William;Man;1825;La Rochelle;1905;La Rochelle;French;"Picot, François Edouard; Sage, Louis";"Salon de 1855; Salon de 1857";1855;2nd class medal;1857;1st class medal;1885;Medal of honour;;;;;1876;1859;1876;1885
58;Boulangé, Louis;Boulangé;;Louis Jean Baptiste;Man;1815;Verzy;1878;;French;"Delacroix, Eugène; Cicéri, Pierre";Salon de 1859;1859;3rd class medal;;;;;;;;;;;;
59;Boulanger, Gustave;Boulanger;;Gustave Clarence Rodolphe;Man;1824;Paris;1888;Paris;French;"Delaroche, Paul; Jollivet, Pierre Jules";"Salon de 1857; Salon de 1859; Salon de 1863";1857;2nd class medal;1859;Rappel of 2nd class medal;1863;Rappel of 2nd class medal;;;;;1882;1865;;
551;Bouquet, Michel;Bouquet;;Michel;Man;1807;Lorient;1890;Paris;French;Gudin, Théodore;Salon de 1848;1839;3rd class medal;1847;2nd class medal;1848;Rappel of 2nd class medal;;;;;;1881;;
60;Bourgeois, Urbain;Bourgeois;;Léon Pierre Urbain;Man;1842;Nevers;;;French;"Cabanel, Alexandre; Flandrin, Hippolyte; Cornu, Sebastien";"Salon de 1877; Salon de 1880";1877;3rd class medal;1880;2nd class medal;;;;;;;;1896;;
61;Boutet de Monvel, Louis-Maurice;Boutet de Monvel;;Louis Maurice;Man;1851;Orléans;1913;Nemours;French;"Cabanel, Alexandre; Lefebvre, Jules; Boulanger, Gustave; Duran, Carolus";"Salon de 1878; Salon de 1880";1878;3rd class medal;1880;2nd class medal;;;;;;;;1897;;
62;Bouvier, Laurent;Bouvier;;Joseph Laurent Daniel;Man;1841;Vinay;1901;St-Geoire en Valdaine;French;Capelle, Alfred Eugène;Salon de 1870;1870;Unique medal;;;;;;;;;;;;
63;Bracquemond, Félix;Bracquemond;;Felix Auguste Joseph;Man;1833;Paris;1914;Sèvres;French;Guichard, Joseph;Salon de 1866;1866;Unique medal;1868;Gravure;1872;Gravure;1884;Medal of honour (gravure);;;;1882;1889;
64;Bramtot, Alfred-Henri;Bramtot;;Albert Henri;Man;1852;Paris;1894;Garennes;French;Bouguereau, William;Salon de 1879;1879;3rd class medal;1885;2nd class medal;;;;;;;;;;
65;Brandon, Édouard;Brandon;;Jacob Emile Edouard;Man;1831;Paris;1897;Paris;French;"Picot, François Edouard; Montfort, Antoine";"Salon de 1865; Salon de 1867";1865;Unique medal;1867;Unique medal;;;;;;;;;;
66;Bremond, Jean;Bremond;;Jean François;Man;1807;Paris;1868;Paris;French;"Ingres, Dominique; Couder, Auguste";Salon de 1863;1833;2nd class medal;1863;Rappel of 2nd class medal;;;;;;;;;;
67;Brendel, Albert;Brendel;;Albert;Man;1827;Berlin;1895;Weimar;German;"Couture, Thomas; Krause, Willhelm; Palizzi, Joseph";"Salon de 1857; Salon de 1859; Salon de 1861";1857;3rd class medal;1859;Rappel of 3rd class medal;1861;Rappel of 3rd class medal;;;;;;;;
68;Brest, Fabius;Brest;;Germain Fabius;Man;1823;Marseille;1900;Marseille;French;"Troyon, Constant; Loubon, Emile";Salon de 1864;1864;Unique medal;;;;;;;;;;;;
70;Breton, Émile;Breton;;Emile Adelard;Man;1831;Courrières;1902;Courrières;French;Breton, Jules;"Salon de 1866; Salon de 1867; Salon de 1868";1866;Unique medal;1867;Unique medal;1868;Unique medal;;;;;;1878;;
69;Breton, Jules;Breton;;Jules Adolphe Aimé Louis;Man;1827;Courrières;1906;Paris;French;"Ingres, Dominique; Drolling, Martin; Vigne, Felix de; Vernet, Horace";"Salon de 1855; Salon de 1857; Salon de 1859; Salon de 1861; Salon de 1872";1855;3rd class medal;1857;2nd class medal;1859;1st class medal;1861;Rappel of 1st class medal;1872;Medal of honour;1886;1861;1867;
71;Bridgmann, Frederick-Arthur;Bridgmann;;Frédéric-Arthur;Man;1847;Tuskegee;1928;Rouen;American;Gérôme, Jean Léon;Salon de 1877;1877;3rd class medal;;;;;;;;;;1878;1907;
72;Briguiboul, Marcel;Briguiboul;;Jean Pierre Marcel Numa;Man;1837;Sainte Colombe sur l'Hers;1892;Nimes;French;"Gleyre, Charles; Cogniet, Léon; Matout, Louis Nicolas";Salon de 1863;1863;3rd class medal;;;;;;;;;;1871;;
73;Brillouin, Louis-Georges;Brillouin;;Louis Georges;Man;1817;Saint-Jean d'Angely;1893;Melle;French;"Drolling, Martin; Cabat, Louis";"Salon de 1865; Salon de 1869; Salon de 1874";1865;Unique medal;1869;Unique medal;1874;3rd class medal;;;;;;;;
74;Brion, Gustave;Brion;;Gustave Adolphe;Man;1824;Rothau;1877;Paris;French;Guérin, Gabriel Christophe;"Salon de 1853; Salon de 1859; Salon de 1861; Salon de 1863; Salon de 1868";1853;2nd class medal;1859;Rappel of 2nd class medal;1861;Rappel of 2nd class medal;1863;1st class medal;1868;Medal of honour;;1863;;
75;Brown, John-Lewis;Brown;;John Lewis;Man;1829;Bordeaux;1890;Paris;French;;"Salon de 1865; Salon de 1866; Salon de 1867";1865;Unique medal;1866;Unique medal;1867;Unique medal;;;;;;;;
76;Browne, Henriette;Browne;de Bouteiller;Sophie;Woman;1829;Paris;1901;Paris;French;"Périn, Alphonse; Chaplin, Charles";"Salon de 1855; Salon de 1857; Salon de 1859; Salon de 1861";1855;3rd class medal;1857;Rappel of 3rd class medal;1859;Rappel of 3rd class medal;1861;2nd class medal;;;;;;
77;Brožik, Václav;Brožik;;Wenceslas de;Man;1851;Zelezny Hamr (Tchèquie);1901;Paris;Czech;"Bonnat, Léon; Lauffer, Emil; Piloty, Karl von";Salon de 1878;1878;2nd class medal;;;;;;;;;1896;1884;;
78;Brun, Charles;Brun;;Guillaume Charles;Man;1823;Montpellier;1908;Paris;French;"Picot, François Edouard; Cabanel, Alexandre";Salon de 1868;1868;Unique medal;;;;;;;;;;;;
552;Brune, Adolphe;Brune;;Adolphe;Man;1802;Paris;1880;Paris;French;Gros, Antoine Jean;Salon de 1848;1834;2nd class medal;1838;1st class medal;1848;Rappel of 1st class medal;;;;;;1861;;
79;Busson, Charles;Busson;;Charles;Man;1822;Montoire;1908;Paris;French;"Français, Louis; Rémond, Charles";"Salon de 1855; Salon de 1857; Salon de 1859; Salon de 1863";1855;3rd class medal;1857;Rappel of 3rd class medal;1859;Rappel of 3rd class medal;1863;Rappel of 3rd class medal;;;;1866;1887;
80;Butin, Ulysse;Butin;;Ulysse Louis Auguste;Man;1837;Saint Quentin;1883;Paris;French;"Picot, François Edouard; Pils, Isidore; Lemasle, Louis Nicolas";"Salon de 1875; Salon de 1878";1875;3rd class medal;1878;2nd class medal;;;;;;;;1881;;
553;Buttura, Eugène-Ferdinand;Buttura;;Eugène Ferdinand;Man;1812;Paris;1852;Paris;French;"Delaroche, Paul; Rémond, Charles; Bertin,  Victor";Salon de 1848;1843;2nd class medal;1848;Rappel of 2nd class medal;;;;;;;;;;
81;Cabanel, Alexandre;Cabanel;;Alexandre;Man;1823;Montpellier;1889;Paris;French;"Picot, François Edouard; Matet, Charles";"Salon de 1852; Salon de 1855; Salon de 1865";1852;2nd class medal;1855;1st class medal;1865;Medal of honour;;;;;1863;1855;1864;1888
82;Cabanel, Pierre;Cabanel;;Pierre;Man;1838;Montpellier;1917;Montpellier;French;Cabanel, Alexandre;Salon de 1873;1873;3rd class medal;;;;;;;;;;;;
83;Cambon, Armand;Cambon;;Henri Joseph Armand;Man;1819;Montauban;1885;Montauban;French;"Picot, François Edouard; Delaroche, Paul; Ingres, Dominique; Drolling, Martin";"Salon de 1863; Salon de 1873";1863;2nd class medal;1873;3rd class medal;;;;;;;;;;
84;Camino, Charles;Camino;;Charles;Man;1824;Saint-Etienne;1888;Paris;French;;Salon de 1869;1869;Unique medal;;;;;;;;;;;;
85;Caraud, Joseph;Caraud;;Joseph;Man;1821;Cluny;1905;Cluny;French;"Abel de Pujol, Alexandre; Müller, Charles Louis";"Salon de 1859; Salon de 1861; Salon de 1863";1859;3rd class medal;1861;2nd class medal;1863;Rappel of 2nd class medal;;;;;;1867;;
86;Carteron, Eugène;Carteron;;Eugène;Man;1848;Paris;1928;Paris;French;"Pils, Isidore; Glaize, Léon; Glaize, Auguste";Salon de 1878;1878;3rd class medal;;;;;;;;;;;;
87;Castres, Édouard;Castres;;Edouard;Man;1838;Genève;1902;Annemasse;Swiss;"Menn, Barthélémy; Zamacois, Eduardo";"Salon de 1872; Salon de 1874";1872;2nd class medal;1874;Rappel of 2nd class medal;;;;;;;;;;
88;Cazes, Romain;Cazes;;Jean-François-Etienne-Joseph Victor;Man;1808;Saint-Béat;1881;Bagnères-de-Luchon;French;"Ingres, Dominique; Roques, Joseph";Salon de 1863;1839;3rd class medal;1863;Rappel of 3rd class medal;;;;;;;;1839;;
621;Cazin, Jean-Charles;Cazin;;Stanislas Henri Jean-Charles;Man;1841;Samer;1901;Le Lavandou;French;"Lecoq de Boisboudran, Horace; Trélat, Emile";Salon de 1880;1880;1st class medal;;;;;;;;;;1882;1889;1900
89;Cellier, Paul;Cellier;;Paul;Man;1826;Paris;1868;Paris;French;Picot, François Edouard;Salon de 1868;1868;Unique medal;;;;;;;;;;;;
90;Čermák, Jaroslav;Čermák;;Jaroslav;Man;1831;Prague;1878;Paris;Czech;"Robert-Fleury, Joseph Nicolas; Ruben, Christian; Gallait, Louis; Cermak, Franz";"Salon de 1861; Salon de 1868";1861;2nd class medal;1868;Unique medal;;;;;;;;1876;;
91;Chabry, Léonce;Chabry;;Martin Léonce;Man;1832;Bordeaux;1883;Bordeaux;French;"Troyon, Constant; Alaux, Jean Paul; Drouyn, Léo";Salon de 1879;1879;3rd class medal;;;;;;;;;;;;
554;Chacaton, Henri de;Chacaton;; Jean Nicolas Henri de;Man;1813;Chézy;1886;;French;"Ingres, Dominique; Marilhat, Prosper; Hersent, Louis";Salon de 1848;1838;3rd class medal;1844;2nd class medal;1848;Rappel of 2nd class medal;;;;;;;;
92;Chaplin, Charles;Chaplin;;Charles Joshua;Man;1825;Andelys;1891;Paris;British;Drolling, Martin;"Salon de 1850-1851; Salon de 1852; Salon de 1865";1851;3rd class medal;1852;2nd class medal;1865;Unique medal;;;;;;1879;1881;
122;Charlot de Courcy, Alexandre-Frédéric de;Charlot de Courcy;;Alexandre Frederic;Man;1832;Paris;1886;Sèvres;French;Picot, François Edouard;Salon de 1867;1867;Unique medal;;;;;;;;;;;;
93;Charnay, Armand;Charnay;;Armand;Man;1844;Charlieu;1915;Paris;French;"Pils, Isidore; Feyen-Perrin, Auguste";Salon de 1876;1876;3rd class medal;;;;;;;;;;1908;;
94;Charpentier, Eugène-Louis;Charpentier;;Eugène Louis;Man;1811;Paris;1890;Paris;French;"Cogniet, Léon; Gérard, François; Charpentier, Eugène";Salon de 1857;1841;3rd class medal;1857;Rappel of 3rd class medal;;;;;;;;;;
95;Chartran, Théobald;Chartran;;Théobald;Man;1849;Besançon;1907;Neuilly;French;Cabanel, Alexandre;Salon de 1877;1877;3rd class medal;;;;;;;;;;1890;1902;
96;Chavet, Victor;Chavet;;Victor Joseph;Man;1822;Pourcieux;1906;Creusot;French;"Loubon, Emile; Révoil, Pierre; Roqueplan, Camille";"Salon de 1853; Salon de 1855; Salon de 1857";1853;3rd class medal;1855;2nd class medal;1857;Rappel of 2nd class medal;;;;;;1859;;
97;Chazal, Charles-Camille;Chazal;;Charles Camille;Man;1825;Paris;1875;Paris;French;"Picot, François Edouard; Drolling, Martin";"Salon de 1850-1851; Salon de 1861";1851;3rd class medal;1861;2nd class medal;;;;;;;;;;
